country,code,year,prod,gdp_per_cap,life_exp,total,beer,other,spirit,wine,pc_m_dis,pc_fm_dis,de_per_mil
Samoa,WSM,2003,25542.48828,1907.209417,70.314,4.17,3.71,3,0.4,0.06,1.110663092,0.559590672,6.825751205
"Yemen, Rep.",YEM,2003,20585.28906,605.1647335,61.2,0.04,0.04,0,0,0,0.688582484,0.450001506,3.915600546
South Africa,ZAF,2003,38561.41406,3678.102817,53.481,6.93,3.78,0.76,1.11,1.27,2.130707509,0.935119525,30.33067294
Zambia,ZMB,2003,6100.241211,429.1583434,47.33,2.33,0.47,1.6,0.25,0.01,2.276280028,1.016110044,36.48170958
Zimbabwe,ZWE,2003,4297.711914,453.3511552,44.188,4.06,0.88,2.76,0.19,0.24,2.267083594,0.970430517,33.5326291
Afghanistan,AFG,2004,4284.071777,219.1413528,57.875,0.02,0.02,0,0,0,0.744045231,0.446703424,7.973745619
Angola,AGO,2004,11071.39746,1041.086844,51.676,3.53,1.72,0.01,0.22,1.58,1.832538587,1.041340927,17.00143182
Albania,ALB,2004,19661.11914,2416.588235,75.028,4.54,1.33,0.08,2.06,1.07,1.881318365,1.223815715,5.049926412
Andorra,AND,2004,,38503.47961,,12.16,3.37,0,2.84,5.95,1.702704189,0.5798223,10.67118322
United Arab Emirates,ARE,2004,163971.2031,36161.17061,75.2,1.77,0.47,0.01,1.15,0.14,0.756896896,0.465499293,5.305630041
Argentina,ARG,2004,36671.28906,4251.574348,74.603,7.63,2.04,0.04,0.52,5.03,3.594784723,0.998476653,21.0421451
Armenia,ARM,2004,11903.98828,1191.96192,72.512,3.81,0.22,0,3.16,0.43,2.497857241,0.863051033,14.53121093
Antigua and Barbuda,ATG,2004,,10419.31113,74.354,7.28,1.97,0.39,3.48,1.43,3.195196313,1.081127053,55.19138998
Australia,AUS,2004,79912.25,30472.37977,80.4902439,9.84,4.57,0.94,1.2,3.13,1.773198725,0.926781561,14.53315101
Austria,AUT,2004,89977.875,36821.52147,79.1804878,12.1,6.7,0,1.6,3.8,2.914881376,1.003524771,33.25758768
Azerbaijan,AZE,2004,14916.17285,1045.02163,68.249,0.62,0.25,0,0.35,0.02,4.073843416,1.006767783,95.92554672
Burundi,BDI,2004,1724.365967,127.4296648,52.437,5.72,1.19,4.51,0,0.01,2.208679431,0.957090128,32.2090583
Belgium,BEL,2004,98376.73438,35589.68912,78.87804878,12.05,5.95,0.01,1.84,4.26,2.064495603,0.693487081,26.50403227
Benin,BEN,2004,4452.758789,583.4093514,56.887,1.15,0.53,0.34,0.15,0.12,1.292054442,1.110152479,19.01827277
Burkina Faso,BFA,2004,3021.186035,371.3230865,52.602,4.54,0.42,3.85,0.17,0.1,1.284171943,1.117989667,22.5945065
Bangladesh,BGD,2004,5132.277832,460.7579167,67.46,0,0,0,0,0,1.792313027,0.94264267,7.355046278
Bulgaria,BGR,2004,30244.1543,3381.507837,72.56341463,10.96,3.52,0.06,5.29,2.09,2.062366769,1.178973993,12.71836423
Bahrain,BHR,2004,96960.9375,15846.47641,75.167,2.16,0.55,0.01,1.38,0.21,0.828448578,0.46289279,8.841502112
"Bahamas, The",BHS,2004,50218.02344,21996.40649,73.538,10.1,3.73,0.56,4.54,1.28,2.871650859,0.983393774,34.25771326
Bosnia and Herzegovina,BIH,2004,26859.53516,2650.642661,75.096,4.25,3.03,0.12,0.68,0.42,3.829494653,1.715458991,38.60494823
Belarus,BLR,2004,20365.93555,2378.339207,68.95609756,12.05,1.33,6.87,3.63,0.22,4.297248123,3.916096497,152.1190663
Belize,BLZ,2004,22920.92578,3831.538019,68.815,6.2,3.98,0.02,2.08,0.12,2.680951458,0.848283636,37.78040097
Bolivia,BOL,2004,10523.18359,978.3346485,62.968,2.66,2,0.01,0.56,0.1,2.283805161,0.769489636,29.48951286
Brazil,BRA,2004,27493.18945,3623.047667,71.67,6.85,3.22,0.04,3.19,0.4,4.199249553,1.310649081,44.92919548
Barbados,BRB,2004,29283.8457,12868.78733,74.004,7.68,2.98,0.22,3.8,0.68,2.167582149,0.838857315,13.14730137
Brunei Darussalam,BRN,2004,184638,21896.60527,76.093,0.11,0.08,0,0.01,0.02,1.103878783,0.410987969,2.032015933
Bhutan,BTN,2004,9946.818359,1097.457088,64.126,0.96,0.62,0,0.34,0,2.820304454,1.632333309,20.2902482
Botswana,BWA,2004,36214.19531,4896.583835,50.832,4.9,2.47,1.98,0,0.45,2.393270198,1.006350937,35.79172814
Central African Republic,CAF,2004,2132.020996,313.210598,44.08,1.5,0.26,1.19,0.03,0.01,1.935868966,1.022231741,22.62991391
Canada,CAN,2004,77756.17969,31979.87195,80.14146341,7.8,4.2,,2.1,1.5,2.07309196,1.097255644,22.36565924
Switzerland,CHE,2004,95759.08594,53340.14766,81.08780488,10.55,3.24,0.12,1.92,5.27,2.058239766,0.687991013,24.95512895
Chile,CHL,2004,42632.50391,6210.828325,77.632,6.32,1.83,0.01,1.95,2.54,3.706564216,1.458180899,29.42551839
China,CHN,2004,9067.948242,1508.668098,73.642,3.04,1.11,0,1.75,0.18,1.79102885,0.503143096,15.72378177
Cote d'Ivoire,CIV,2004,7821.226074,919.8068028,47.205,3.08,0.63,2.08,0.04,0.33,1.395369011,1.067826512,22.27339275
Cameroon,CMR,2004,6568.654785,1027.823,52.301,4.71,2.41,2.22,0,0.08,1.39232031,1.199376201,26.93134926
"Congo, Dem. Rep.",COD,2004,1412.845947,194.1667863,52.917,1.44,0.32,1.09,0.03,0.01,1.747572982,0.997712969,16.13611682
"Congo, Rep.",COG,2004,14141.13574,1289.337837,53.608,2.58,1.72,0,0.54,0.32,1.906163505,1.137457162,21.02588174
Colombia,COL,2004,22935.23242,2740.249442,72.062,4.26,2.66,0.03,1.54,0.03,2.429599727,0.817521002,2.429670338
Comoros,COM,2004,6401.933105,616.4197236,59.904,0.27,0.13,0,0.08,0.05,1.965539797,0.907705173,19.582039
Cabo Verde,CPV,2004,13690.29395,1976.458506,71.584,4.19,1.9,0,0.51,1.78,1.362118349,1.05726995,16.27527523
Costa Rica,CRI,2004,26517.34961,4425.507467,77.993,4.09,2.23,0.04,1.69,0.14,1.966008004,0.657478444,10.31504655
Cuba,CUB,2004,,3390.716256,77.663,4.38,1.52,0.02,2.8,0.05,2.463589439,0.847279255,29.65047847
Cyprus,CYP,2004,49183.37109,23932.49128,78.506,13.03,3.6,0,6.79,2.64,1.545017429,0.575646925,6.82849213
Czech Republic,CZE,2004,52261.76563,11685.88724,75.72195122,13.24,7.67,0,3.66,1.91,1.826241098,1.199033245,25.98921792
Germany,DEU,2004,86107.20313,34165.93403,78.6804878,11.83,6.29,0,2.48,3.06,3.240213891,1.027711846,49.35194093
Djibouti,DJI,2004,6390.13623,864.1847206,57.677,1.18,0.24,0,0.86,0.07,1.992297672,0.888915545,17.40429855
Dominica,DMA,2004,,5325.046981,,8.66,0.88,0.02,7.03,0.73,2.743438474,0.957646356,38.51097596
Denmark,DNK,2004,85918.6875,46511.60457,77.49268293,11.27,5.1,0,1.85,4.32,2.681994963,0.863485562,100.4538032
Dominican Republic,DOM,2004,20384.64453,2421.096062,71.425,5.16,2.04,0.05,2.94,0.13,2.235364736,0.855803471,17.5247526
Algeria,DZA,2004,47894.59766,2598.908023,72.281,0.45,0.24,0,0.03,0.19,0.711541764,0.462560958,3.295013868
Ecuador,ECU,2004,19706.33789,2708.557892,73.937,3.65,1.81,0.01,1.77,0.05,2.732554432,0.765355626,44.55515425
"Egypt, Arab Rep.",EGY,2004,28558.01172,1045.943208,69.282,0.16,0.08,0,0.05,0.02,0.666631742,0.458014912,2.579585604
Eritrea,ERI,2004,3778.983887,287.4222243,57.916,0.64,0.53,0.09,0.02,0,2.115966658,0.933818696,27.05920349
Spain,ESP,2004,75271.05469,24918.64584,79.87073171,11.96,4.5,0.65,3.02,3.8,1.277546555,0.436081473,7.056300318
Estonia,EST,2004,46373.65234,8850.465115,71.9097561,15.07,5.35,2.39,6.18,1.15,4.986739378,4.261295134,205.4602859
Ethiopia,ETH,2004,1588.781982,135.7623858,55.172,0.86,0.22,0.59,0.04,0.01,3.000897576,0.792845362,29.92238878
Finland,FIN,2004,85052.29688,37636.11173,78.71463415,9.89,4.57,1.11,2.79,1.42,4.716499178,1.456331317,105.5837428
Fiji,FJI,2004,20043.83203,3332.918533,68.243,1.63,1.44,0.01,0.16,0.02,1.040620274,0.561729964,2.688158562
France,FRA,2004,87234,33874.74363,80.16341463,13.18,2.24,0.17,2.67,8.1,2.267960001,0.8086704,44.46750499
"Micronesia, Fed. Sts.",FSM,2004,,2252.803138,67.82,2.02,1.69,0,0.14,0.19,1.246101288,0.563943869,11.06870368
Gabon,GAB,2004,70326.51563,5685.577736,59.512,8.13,4.87,0.03,2.24,0.99,2.039519844,1.126468926,22.0433268
United Kingdom,GBR,2004,75448.61719,39983.98467,78.74634146,12.22,5.09,0.62,2.51,3.98,2.027002428,0.766215179,15.70069737
Georgia,GEO,2004,9304.964844,1207.367228,72.682,3.74,0.59,0,1.87,1.27,2.601335961,0.815987395,8.469874868
Ghana,GHA,2004,5877.412109,423.1936389,58.187,1.46,0.42,0.92,0.04,0.08,1.23530947,1.104221372,15.10237738
Guinea,GIN,2004,3413.324951,386.3288283,52.444,0.34,0.16,0,0.16,0.02,1.190016712,1.054975354,13.64586841
"Gambia, The",GMB,2004,5674.633789,413.8398773,57.527,2.51,0.25,2.14,0.07,0.05,1.156644296,1.056410778,12.39403343
Guinea-Bissau,GNB,2004,3483.138916,393.3138244,53.084,2.58,0.4,1.14,0.53,0.51,1.342343134,1.093623372,20.23119217
Equatorial Guinea,GNQ,2004,85536.23438,6085.348907,53.987,6.28,1.06,0,0,5.23,1.995001181,1.080165877,20.29830247
Greece,GRC,2004,69864.82031,21955.10409,79.03902439,9.56,2.22,0.17,2.25,4.91,1.581151638,0.597510391,2.146093096
Grenada,GRD,2004,,5836.177063,71.213,8.43,3.62,0.15,4.38,0.28,2.638716463,0.846214352,30.58251504
Guatemala,GTM,2004,17768.74023,1872.737083,69.437,2.4,1.18,0,1.19,0.03,4.787973855,1.078944788,165.5356912
Guyana,GUY,2004,15095.57324,1045.58861,65.428,7.84,1.33,0.03,6.46,0.02,2.73402525,1.020509944,38.96047558
Honduras,HND,2004,10505.75586,1217.657961,71.341,3.02,1.27,0,1.72,0.02,2.560548197,0.684647041,52.57292731
Croatia,HRV,2004,48979.19141,9365.742468,75.5202439,13.11,4.94,0.37,1.31,6.5,2.473153591,1.249867371,41.08744475
Haiti,HTI,2004,4613.181152,387.9429725,58.86,6.1,0.01,0,6.08,0.01,2.52233546,0.918123653,33.50527682
Hungary,HUN,2004,54431.73828,10296.33979,72.64878049,13.28,4.34,0,4.27,4.66,2.726120483,1.35139717,45.50927489
Indonesia,IDN,2004,14858.30176,1222.911783,67.002,0.06,0.05,0,0,0,0.643461365,0.433639564,3.908890786
India,IND,2004,7673.844238,621.3183767,64.154,1.2,0.08,0,1.11,0.02,2.504727459,0.479008327,23.39434692
Ireland,IRL,2004,100798.4063,47630.92531,78.53902439,13.32,7.1,1.17,2.48,2.57,2.785794091,1.167982156,19.34840976
"Iran, Islamic Rep.",IRN,2004,46711.46094,2729.838416,71.582,0.01,0,0,0.01,0,0.612642397,0.329187949,2.191748156
Iraq,IRQ,2004,56855.51563,1391.816923,68.537,0.32,0.3,0,0.02,0,0.737106877,0.492295818,7.243652607
Iceland,ISL,2004,66799.6875,46917.27216,80.99756098,6.79,3.49,0.08,1.31,1.91,1.716081347,0.612812594,18.09571105
Israel,ISR,2004,70268.32031,19892.05951,80.14634146,2.23,0.76,0.06,1.24,0.17,0.84526071,0.319950649,11.29430295
Italy,ITA,2004,94106.14844,31174.56109,80.7804878,8.98,1.72,0,1.07,6.19,0.659154708,0.282220245,3.844480931
Jamaica,JAM,2004,20684.72266,3719.97351,73.167,3.67,1.55,0.33,1.66,0.14,1.921384342,0.827640745,4.42444881
Jordan,JOR,2004,38769.53125,2061.456882,72.427,0.54,0.15,0.01,0.37,0.01,0.694790603,0.459174911,3.944152501
Japan,JPN,2004,70244.28906,37688.72234,82.0302439,7.7,1.75,2.22,3.42,0.31,0.82152111,0.270572357,3.122604414
Kazakhstan,KAZ,2004,30188.37305,2874.288291,65.88780488,6.55,1.52,0,4.62,0.4,3.64893412,1.037265444,49.77215596
Kenya,KEN,2004,6518.402832,458.8843551,54.513,1.43,0.65,0.28,0.49,0.02,1.396662429,0.843076503,14.9546012
Kyrgyz Republic,KGZ,2004,6119.673828,433.2351189,68.15365854,3.41,0.59,0.01,2.7,0.11,4.530674129,1.254409097,125.3126037
Cambodia,KHM,2004,3610.149902,408.6105184,62.186,1.38,0.28,0,1.09,0.01,1.191707757,0.517789706,20.89326257
Kiribati,KIR,2004,,1130.602806,64.74,0.48,0.43,0.01,0.03,0,1.076318389,0.57895298,6.809044472
St. Kitts and Nevis,KNA,2004,,10476.36342,,9.14,3.39,0.19,5.23,0.32,,,
"Korea, Rep.",KOR,2004,50498.47266,15907.66583,77.66585366,9.18,2,6.72,0.32,0.15,3.310851005,1.035539158,21.74774768
Kuwait,KWT,2004,177651.8281,26921.08278,73.434,0.02,0,0,0.01,0.01,0.715716296,0.471674562,2.814464878
Lao PDR,LAO,2004,6055.515137,417.7516561,61.224,3.53,1.22,0,2.31,0,1.158649527,0.519625634,18.6835287
Lebanon,LBN,2004,40684.14063,5424.22356,76.351,2.1,0.45,0.02,0.82,0.82,0.715853131,0.629334795,2.107995834
Liberia,LBR,2004,1945.42395,149.4452549,54.084,4.24,0.25,0,3.99,0,1.192403499,1.051083138,14.9290511
Libya,LBY,2004,81979.99219,5806.083604,71.17,0.01,0,0,0.01,0,0.714701791,0.458595469,3.558758025
St. Lucia,LCA,2004,28467.36914,5504.479,72.652,11.93,3.39,0.82,7.03,0.69,2.561264846,0.988307355,33.76637328
Sri Lanka,LKA,2004,15991.42969,1066.588484,73.593,1.56,0.17,0,1.39,0,1.128390625,0.5128268,16.55976954
Lesotho,LSO,2004,7213.410156,781.5145954,46.078,1.8,1.31,0.49,0,0,2.230837895,0.995502282,31.51920772
Lithuania,LTU,2004,40080.26172,6706.966998,71.96097561,12.1,4.62,0.79,4.31,2.37,4.34287586,3.661848817,135.932648
Luxembourg,LUX,2004,211952.3438,75716.35108,79.12195122,12.42,4.27,0,2.58,5.58,2.093037632,0.727392775,35.70547311
Latvia,LVA,2004,36236.87109,6351.080125,72.02682927,8.81,3.69,0.43,3.74,0.95,4.240571771,3.608778521,128.174638
Morocco,MAR,2004,17022.28711,1948.812275,70.873,0.56,0.23,0,0.06,0.28,0.635944168,0.297116624,3.184546883
Moldova,MDA,2004,7197.862793,720.9409321,67.665,12.27,1.39,0.67,4.06,6.14,3.280680631,3.261627946,87.04901542
Madagascar,MDG,2004,2965.50293,245.1235876,60.752,0.81,0.36,0,0.32,0.13,1.989354023,0.89422391,19.23103202
Maldives,MDV,2004,22437.89453,3952.121991,73.418,1.6,0.56,0,0.68,0.36,0.863599249,0.512880904,3.887879804
Mexico,MEX,2004,38174.79297,7199.059665,75.18,4.9,3.71,0.05,1.03,0.11,2.757108068,0.488899036,48.79550386
"Macedonia, FYR",MKD,2004,35185.64063,2762.561701,73.893,2.07,0.98,0,0.7,0.39,1.986371922,1.24465383,10.92665275
Mali,MLI,2004,6845.937988,439.3572924,51.224,0.49,0.07,0.41,0.01,0,1.164642481,1.041747418,10.80204061
Malta,MLT,2004,69067.57031,15109.05497,79.25365854,6.53,1.86,0.24,1.42,3.01,1.528968346,0.581921204,4.117661447
Myanmar,MMR,2004,4227.032227,219.8156688,63.323,0.44,0.13,0,0.31,0,1.135818523,0.533898666,20.04213642
Montenegro,MNE,2004,38804.82422,3380.199535,73.465,,,,,,2.066372082,1.180828134,16.45240933
Mongolia,MNG,2004,14219.6084,797.8377432,64.671,1.75,0.53,0,0.51,0.71,4.675481062,1.289494236,117.4586271
Mozambique,MOZ,2004,1928.293945,336.3318145,50.663,1.54,0.49,0.06,0.91,0.08,2.086670599,0.885555759,22.56046909
Mauritania,MRT,2004,10740.43555,602.547286,60.539,0.01,0,0,0.01,0,1.175333507,1.052182102,10.77393861
Mauritius,MUS,2004,31059.70117,5229.876738,72.27674797,4.16,1.99,0,1.87,0.3,1.634466757,0.538156312,41.48830892
Malawi,MWI,2004,2211.874023,274.2256294,48.735,1.11,0.14,0.68,0.28,0.01,2.109077899,0.898241121,24.69862428
Malaysia,MYS,2004,44194.35547,4955.477743,73.356,0.49,0.41,0,0.08,0.01,0.929395681,0.31949361,19.3062141
Namibia,NAM,2004,26590.23633,3288.257373,53.48,4.8,3.18,0.5,0.99,0.12,2.337883811,0.995593523,30.13225864
Niger,NER,2004,1932.968018,232.5661574,52.436,0.11,0.05,0.01,0.04,0.01,1.155526958,1.039104421,11.68095638
Nigeria,NGA,2004,13962.98926,648.8150852,47.717,9.76,0.52,9.23,0.01,0,1.152677958,1.040615488,13.93589668
Nicaragua,NIC,2004,9926.148438,1091.505157,71.537,3.81,1.08,0,2.71,0.01,3.241766058,0.66456823,71.56278292
Netherlands,NLD,2004,85328.39844,39954.64222,79.09512195,9.56,4.8,0,1.66,3.1,1.06273718,0.453981751,14.25244788
Norway,NOR,2004,121963.4453,57570.26916,79.84146341,6.22,2.96,0.11,1.25,1.9,2.577461466,0.902136894,42.00218755
Nepal,NPL,2004,3299.14502,287.4001056,64.973,0.21,0.08,0,0.13,0,1.938330304,0.916860851,14.26212841
Nauru,NRU,2004,,,,1.04,0.95,0,0,0.09,,,
New Zealand,NZL,2004,63123.26172,25420.39935,79.54878049,9.15,4.11,0.7,1.45,2.85,2.182563149,1.08952288,9.097125377
Oman,OMN,2004,138970.0781,10129.28886,73.851,0.61,0.21,0,0.39,0.01,0.693613561,0.459113881,2.796942196
Pakistan,PAK,2004,12987.58691,649.8048233,63.625,0.01,0,0.01,0,0,2.088667812,0.906906005,11.28506469
Panama,PAN,2004,28954.32031,4591.892776,75.782,5.69,3.6,0.02,1.85,0.22,1.994513861,0.662885079,6.850826135
Peru,PER,2004,15086.27441,2448.143899,72.146,4.27,1.66,0,2.27,0.33,2.201229182,0.715222659,23.59421769
Philippines,PHL,2004,13019.64844,1079.03715,67.67,4.45,1.36,0,3.07,0.02,1.177443101,0.518035691,20.20073754
Papua New Guinea,PNG,2004,3948.993896,637.3686654,63.113,0.58,0.56,0,0.02,0.01,1.178567574,0.556977878,9.887346474
Poland,POL,2004,45124.73047,6681.178818,74.84634146,9.19,4.66,0,3.01,1.53,2.799606779,1.01421847,79.68110413
"Korea, Dem. People’s Rep.",PRK,2004,2797.945068,,68.102,3.13,0.19,0,2.93,0,1.520453002,0.531941759,11.1925413
Portugal,PRT,2004,54059.69922,18045.5881,77.67073171,13.45,3.7,0.47,1.23,8.05,2.02407815,0.374421345,18.68450521
Paraguay,PRY,2004,14605.72559,1408.527976,71.067,6.2,3.48,0.11,1.72,0.89,3.375581383,1.200114297,28.46831068
Qatar,QAT,2004,194353.2656,41818.35256,76.668,1.11,0.28,0.01,0.73,0.1,0.745846333,0.465198788,4.84469948
Romania,ROU,2004,32654.0625,3552.92452,71.59427561,9.82,4.24,0,1.29,4.29,2.104541628,1.219365129,37.79616014
Russian Federation,RUS,2004,37998.36719,4102.372294,65.47097561,11.5,3.47,0,7.09,0.95,7.457771055,3.762003886,297.3751657
Rwanda,RWA,2004,1961.771973,236.9114381,53.755,6.75,0.45,6.26,0.03,0,3.580546045,0.869356233,23.59274096
Saudi Arabia,SAU,2004,144013.5781,11138.80746,73.041,0.06,0,0,0.06,0,0.654606088,0.444481789,2.829558625
Sudan,SDN,2004,13526.92969,565.0569459,59.993,1.59,0,1.32,0.27,0,0.72043827,0.448997062,5.267110739
Senegal,SEN,2004,7708.279785,733.0581811,59.859,0.35,0.16,0,0.04,0.15,1.245557918,1.048962125,14.23944276
Singapore,SGP,2004,116507.1016,27405.27136,79.4902439,1.45,1.07,0.03,0.17,0.17,0.667721842,0.293603943,1.903957571
Solomon Islands,SLB,2004,3719.418945,818.442619,65.549,1.18,0.75,0,0.41,0.02,1.163213624,0.555147972,10.2261559
Sierra Leone,SLE,2004,2964.761963,263.1045817,42.66,3.99,0.14,3.81,0.03,0.01,1.228523825,1.09274217,16.9194928
El Salvador,SLV,2004,18322.03125,2632.709942,70.048,2.9,1.13,0,1.73,0.03,5.326145021,0.846303987,189.3744788
Somalia,SOM,2004,2169.781006,,52.042,0,0,0,0,0,1.944556767,0.906540686,21.51808332
Serbia,SRB,2004,22901.24805,3331.228766,72.68292683,7.42,3.21,0,2.6,1.61,2.35649755,1.189764313,33.29736849
Sao Tome and Principe,STP,2004,8173.791992,693.3045683,64.322,5.78,1.12,0,0.75,3.91,1.36889575,1.03077277,16.57237648
Suriname,SUR,2004,36327.99609,3006.48773,68.48,4.55,1.64,0.08,2.75,0.08,2.448375585,0.856783554,28.00793719
Slovak Republic,SVK,2004,46058.38672,10654.79371,73.95853659,10.03,3.99,0.48,4.23,1.33,3.123690008,1.253476279,21.20356643
Slovenia,SVN,2004,54774.55469,17260.90151,77.20731707,10,4.51,0.2,1.11,4.18,2.679502079,1.321110133,48.71670657
Sweden,SWE,2004,83028.48438,42442.22045,80.49756098,6.6,2.6,0,1.2,2.8,2.558334377,0.809469167,39.23987006
Swaziland,SWZ,2004,27320.47656,2529.633535,45.905,5.78,1.65,3.22,0.89,0.02,2.402702631,1.01779852,38.57739105
Seychelles,SYC,2004,,10176.65871,72.66097561,7.91,5.18,0,1.54,1.19,1.182052387,0.5104975,16.95997464
Syrian Arab Republic,SYR,2004,22001.67188,1408.852738,74.25,0.93,0.05,0,0.56,0.32,0.573049979,0.454742401,2.797018793
Chad,TCD,2004,4564.371094,454.6765879,47.848,0.34,0.23,0.08,0.02,0.01,1.240102716,1.052502902,14.62849892
Togo,TGO,2004,2646.253906,349.9937253,54.23,1.01,0.47,0.18,0.04,0.32,1.300331965,1.045465669,17.22870181
Thailand,THA,2004,19709.33008,2659.839108,71.775,6.17,1.61,0.01,4.54,0.02,1.229534027,0.478349321,28.56739378
Tajikistan,TJK,2004,5175.729004,309.2801834,67.163,0.38,0.03,0,0.3,0.05,2.801809049,0.848659046,26.51714303
Turkmenistan,TKM,2004,14299.57617,1453.917166,64.693,2.86,0.19,0,1.25,1.42,3.159331141,0.903475768,29.33939368
Timor-Leste,TLS,2004,5431.062012,444.3430043,63.209,0.38,0.35,0,0.01,0.02,0.976046183,0.507341148,13.08593835
Tonga,TON,2004,13778.14258,2284.307858,71.367,1.8,0.89,0.18,0.43,0.3,1.136384793,0.564251073,6.770297643
Trinidad and Tobago,TTO,2004,55286.54688,10290.51914,68.816,5.82,2.96,0.1,2.64,0.13,2.225732876,0.837439953,14.50752223
Tunisia,TUN,2004,29342.35352,3112.835029,74.026,1.36,0.82,0,0.06,0.47,0.69600629,0.462832061,2.646173283
Turkey,TUR,2004,52092.35938,6040.88491,72.06,1.35,0.81,0,0.47,0.07,0.953430419,0.734550994,2.837594059
Tuvalu,TUV,2004,,2176.564747,,1.83,0.04,0,1.75,0.04,,,
Tanzania,TZA,2004,3862.552002,345.189237,55.161,3.81,0.51,3.18,0.12,0.01,2.094669791,0.933759653,24.15082289
Uganda,UGA,2004,3521.88501,288.0236949,51.538,9.89,0.43,9.26,0.2,0.01,1.363416978,1.170670592,29.52429239
Ukraine,UKR,2004,16398.66406,1367.352433,68.18536585,6.79,2.18,0,4.06,0.55,3.614803888,4.354306792,171.9827025
Uruguay,URY,2004,29122.91992,4117.308853,75.614,5.66,1.1,0,0.68,3.88,1.383077319,0.515466143,18.07706186
United States,USA,2004,100334.6563,41921.80976,77.48780488,8.48,4.58,0,2.57,1.32,2.884594179,1.483500349,25.24185051
Uzbekistan,UZB,2004,7451.601074,465.1198869,68.094,1.59,0.27,0,1.06,0.26,2.521779912,0.831793609,15.83606381
St. Vincent and the Grenadines,VCT,2004,23493.23438,4808.215911,71.014,5.42,2.03,0.09,3.15,0.14,3.285589345,0.940746184,61.17335718
"Venezuela, RB",VEN,2004,36641.95313,4271.372404,73.015,7.55,5.93,0.03,1.52,0.07,1.953701604,0.656867969,6.817462974
Vietnam,VNM,2004,5904.404785,543.8658871,74.082,2.86,1.13,0,1.72,0.01,1.449617979,1.424489549,9.61574351
Vanuatu,VUT,2004,6366.195801,1787.947023,68.889,0.85,0.49,0,0.19,0.17,1.226125986,0.565257511,10.89504448
Samoa,WSM,2004,26484.83398,2351.033814,70.673,3.62,3.3,3,0.26,0.06,1.111082585,0.55971282,6.771778569
"Yemen, Rep.",YEM,2004,20998.53906,693.0835669,61.52,0.06,0.05,0,0.01,0,0.688808372,0.450173044,3.938694644
South Africa,ZAF,2004,38039.14063,4745.071685,52.878,6.96,3.87,0.76,1.11,1.22,2.11854994,0.930459795,28.21186629
Zambia,ZMB,2004,6324.435059,530.2772217,48.432,2.46,0.48,1.68,0.27,0.03,2.288042523,1.014855802,36.15244496
Zimbabwe,ZWE,2004,3885.424072,454.3606654,44.571,4.36,1.14,2.83,0.19,0.2,2.29076173,0.974523003,38.61239999
Afghanistan,AFG,2005,4465.167969,250.2941299,58.5,0.02,0.01,0,0.01,0,0.743984947,0.44706772,7.995614721
Angola,AGO,2005,12256.57813,1443.991929,52.833,5.04,2.86,0,0.08,2.09,1.827433047,1.040111848,16.80455693
Albania,ALB,2005,20767.25,2709.142931,75.217,5.16,1.59,0.09,2.14,1.34,1.881490282,1.227435438,5.255415588
Andorra,AND,2005,,41282.02012,,12,3.64,0,2.94,5.42,1.702616646,0.580636507,10.46659197
United Arab Emirates,ARE,2005,149006.8594,39439.80197,75.422,1.79,0.41,0.01,1.23,0.14,0.75598133,0.466567193,5.329075775
Argentina,ARG,2005,38673.48828,5076.883829,74.775,7.53,2.42,0.22,0.32,4.57,3.582900691,0.995865667,20.6142047
Armenia,ARM,2005,13295.57129,1643.758543,72.625,4.25,0.27,0,3.51,0.46,2.481776707,0.866456451,14.72064476
Antigua and Barbuda,ATG,2005,,11452.73878,74.544,8.15,2.42,0.41,3.58,1.74,3.179724086,1.065254223,55.12387164
Australia,AUS,2005,79649.05469,34016.71483,80.84146341,10.3,4.62,0.94,1.21,3.53,1.745990312,0.913949707,14.77830992
Austria,AUT,2005,89041.25781,38403.13388,79.33170732,12.4,6.07,0,1.6,4.1,2.913181547,1.006133457,33.26927771
Azerbaijan,AZE,2005,18238.83398,1578.40239,68.75,0.73,0.3,0,0.4,0.03,4.078133105,1.01158985,98.31136699
Burundi,BDI,2005,1673.449951,150.5070434,52.735,5.54,1.19,4.34,0,0.01,2.19434034,0.953346671,31.89541631
Belgium,BEL,2005,98214.69531,36967.25918,78.9804878,12.27,6.07,0,1.98,4.22,2.057882126,0.692409896,26.87587729
Benin,BEN,2005,4386.530762,601.799977,57.355,1.13,0.51,0.33,0.16,0.14,1.289592973,1.112022063,18.89010863
Burkina Faso,BFA,2005,3233.894043,406.9988071,53.31,4.88,0.44,3.92,0.43,0.09,1.285361935,1.116970051,22.54600224
Bangladesh,BGD,2005,5336.414063,484.1554071,67.937,0,0,0,0,0,1.796781548,0.940038369,7.36152113
Bulgaria,BGR,2005,32288.61328,3893.68998,72.56097561,10.48,3.56,0.05,4.93,1.95,2.032350423,1.18322627,12.44530116
Bahrain,BHR,2005,93141.76563,17959.17854,75.326,2.05,0.54,0.01,1.31,0.19,0.823038341,0.462576662,8.586145905
"Bahamas, The",BHS,2005,50298.9375,23405.45302,73.787,10.49,3.82,0.52,4.64,1.51,2.840288354,0.971831323,34.1337934
Bosnia and Herzegovina,BIH,2005,29452.19531,2968.411806,75.223,4.56,3.34,0.13,0.66,0.43,3.802447323,1.712522473,35.85452014
