country,code,year,prod,gdp_per_cap,life_exp,total,beer,other,spirit,wine,pc_m_dis,pc_fm_dis,de_per_mil
Dominican Republic,DOM,2000,20395.05078,2802.420042,70.568,6.58,2.63,0,3.73,0.21,2.305813119,0.8570309,20.29218784
Algeria,DZA,2000,50765.84375,1757.017797,70.292,0.25,0.12,0,0,0.13,0.710166595,0.46168292,3.267607052
Ecuador,ECU,2000,18312.75781,1451.290776,72.933,3.99,1.35,0,2.61,0.03,2.85926559,0.773199229,53.61045186
"Egypt, Arab Rep.",EGY,2000,27749.04492,1428.183004,68.613,0.14,0.06,0,0.07,0.01,0.671559652,0.457011644,2.50612604
Eritrea,ERI,2000,4026.87207,208.1969487,55.258,0.83,0.48,0.34,0.01,0,2.123586432,0.93273264,27.81965538
Spain,ESP,2000,76571.85938,14676.70609,78.96585366,11.12,4.19,0,2.81,4.12,1.266167813,0.433230907,6.969845874
Estonia,EST,2000,37216.95313,4070.032827,70.41707317,,,,,,5.117871119,4.344993167,201.7362689
Ethiopia,ETH,2000,1545.359985,123.8762057,51.94,0.88,0.19,0.63,0.05,0.01,3.04434891,0.804997288,33.67162749
Finland,FIN,2000,78396.50781,24253.25042,77.46585366,8.59,4.27,1.04,2.22,1.07,4.426223439,1.536301173,97.77143157
Fiji,FJI,2000,19353.18164,2076.013308,67.553,2.05,1.76,0,0.21,0.08,1.031860351,0.563557748,2.867063716
France,FRA,2000,85826.60938,22465.6411,79.05609756,13.63,2.08,0.25,2.71,8.59,2.216371581,0.793290801,43.3854708
"Micronesia, Fed. Sts.",FSM,2000,,2170.92021,67.3,2.23,4.28,0,0.07,0.01,1.241031399,0.565034438,11.26773596
Gabon,GAB,2000,76945.6875,4116.460693,59.302,8.87,5.88,0,1.47,1.52,2.123308367,1.141175337,26.18493192
United Kingdom,GBR,2000,70093.39063,27982.35576,77.74146341,10.59,4.98,0.63,1.96,3.02,2.03731302,0.711951464,14.30968496
Georgia,GEO,2000,6967.344238,691.9977101,71.907,3.28,0.41,0,1.3,1.57,2.523678888,0.827657289,11.96844322
Ghana,GHA,2000,5797.140137,263.1124679,56.994,1.6,0.41,1.03,0.12,0.04,1.23088913,1.105391207,14.64592965
Guinea,GIN,2000,3251.934082,340.0516918,51.181,0.17,0.15,0,0.01,0.01,1.200998711,1.058377903,13.76786644
"Gambia, The",GMB,2000,5539.969238,635.5637584,55.924,2.18,0.2,1.96,0.02,0,1.163895696,1.057973778,12.67529252
Guinea-Bissau,GNB,2000,3672.063965,297.7519443,52.27,2.84,0.54,1.12,0.6,0.58,1.356550752,1.097010968,20.87725741
Equatorial Guinea,GNQ,2000,32928.67969,1702.684901,52.752,4.46,0.69,0,0,3.77,1.988135609,1.078927454,25.40575229
Greece,GRC,2000,60159.94141,12042.95373,77.88780488,8.48,2.4,0.01,2.38,3.69,1.560173097,0.594285054,2.141379105
Grenada,GRD,2000,,5117.589923,70.337,9.4,3.5,0.01,5.15,0.74,2.65464028,0.847304439,28.13378237
Guatemala,GTM,2000,17553.43945,1655.596261,67.849,2.63,1.11,0,1.49,0.03,5.037395241,1.1769506,162.0418761
Guyana,GUY,2000,14235.96289,946.0599372,64.93,6.63,1.59,0,5.04,0,2.784570126,1.040765621,42.22126687
Honduras,HND,2000,9126.611328,1088.783165,70.537,2.61,1.34,0,1.23,0.04,2.557080625,0.687977581,51.53574733
Croatia,HRV,2000,42271.8125,4919.628069,72.80780488,12.73,5.08,0.04,1.79,5.82,2.493330344,1.23104545,41.49285138
Haiti,HTI,2000,5028.687988,462.4806524,57.716,4.79,0.03,0,4.75,0.01,2.578674607,0.939657036,34.6872105
Hungary,HUN,2000,46850.33594,4633.312923,71.24634146,12.22,4.3,0,3.84,4.08,3.040471451,1.451661115,55.4478003
Indonesia,IDN,2000,13206.23535,830.5845879,66.285,0.06,0.06,0,0,0,0.635146151,0.430955679,3.729752061
India,IND,2000,6771.458984,438.8646304,62.582,0.93,0.07,0,0.87,0,2.494745532,0.546611847,22.78053177
Ireland,IRL,2000,90369.05469,26241.51451,76.53658537,14.07,8.01,1.25,3.02,1.79,2.754823445,1.158674239,22.74157377
"Iran, Islamic Rep.",IRN,2000,48400.41016,1657.169748,70.144,0,0,0,0,0,0.63828498,0.344420915,2.188423306
Iraq,IRQ,2000,62190.98047,,69.169,0.2,0.2,0,0,0,0.735705048,0.491097135,7.302823294
Iceland,ISL,2000,57934.46094,31813.37344,79.65365854,6.17,3.03,0.03,1.73,1.38,1.698136855,0.609463769,18.77261199
Israel,ISR,2000,69720.07813,21042.9816,78.95365854,2.53,1.12,0,1.16,0.25,0.844456613,0.298764985,12.87849414
Italy,ITA,2000,99380.46094,20051.24215,79.77804878,9.78,1.64,0,1.07,7.06,0.654889155,0.282079568,3.595058302
Jamaica,JAM,2000,20739.57617,3360.870402,72.327,3.46,1.64,0,1.71,0.1,1.941432755,0.824297017,4.508151729
Jordan,JOR,2000,32951.82422,1657.889256,71.73,0.49,0.07,0,0.41,0.01,0.696573263,0.459999261,4.085051214
Japan,JPN,2000,66281.28906,38532.04088,81.07609756,7.97,2.5,2.23,2.94,0.29,0.83437058,0.269901479,3.227586561
Kazakhstan,KAZ,2000,21920.25391,1229.000958,65.51707317,6,0.85,0,4.8,0.35,3.397059038,0.970746716,42.29922724
Kenya,KEN,2000,6107.005859,403.9797132,51.751,1.51,1.35,0.32,0.53,0.01,1.397997229,0.840458966,14.83843705
Kyrgyz Republic,KGZ,2000,5341.032227,279.6205233,68.55853659,2.13,0.26,0.02,1.76,0.09,4.605279512,1.309522492,123.9851872
